FullName,Email,Phone,Address,JobTitle,DateOfBirth,Age,Gender,Marriage,Children,FamilySize,Education,Income,HouseOwn,CarOwn,CallsNum,CallsMinutes,SmsSent,SmsVar,Periodicity,SlopeCalls,MobilityClusters,SocialStability,SocialExposure,SocialQuality,MobileMoneyTx,AirtimeTopups,NumFinancialAppsInstalled,NumFinancialAppsUsed,SMSTx_P2P_Count_30d,SMSTx_BillPay_Count_30d,SMSTx_Merchant_Count_30d,SMSTx_Amt_Mean_30d,SMSTx_Amt_CV_30d,SMSTx_OnTimeBillPay_Rate,SMSTx_NightShare,SM_Platforms_Installed,SM_MinutesPerDay,SM_PostsPerWeek,SM_NightUsageShare,SM_Sentiment_Polarity,Apps_TotalInstalled,Apps_SessionsPerDay,Apps_ForegroundMinPerDay,Apps_BackgroundMBPerDay,Apps_Time_ProductivityMin,Apps_Time_GamingMin,Apps_Time_FinanceMin,Apps_ChurnRate_30d,Apps_RiskyCount
Karen Thompson,wmorse@hotmail.com,+1-718-333-1390x128,"1013 Garcia Causeway Apt. 881, Port Jaime, VT 30376",Theatre director,23-07-2006,18,Female,Married,1,2,Secondary,2961,0,0,46,53,58,2.29,-1.93,1.15,5,0.41,0.52,0.41,6,3,2,0,2,6,1,32.55,0.83,0.92,0.19,5,126,3,0.19,-0.05,27,31,18,129.5,10,88,28,0.15,4
Jeremy Case,charles24@hotmail.com,+1-720-559-8988x9286,"1969 Katherine Walk Apt. 538, Eugeneview, MA 39072",Information systems manager,05-01-1989,35,Male,Single,3,5,Primary,2749,0,0,11,22,57,0.5,-0.04,-1.03,3,0.87,0.49,0.19,6,2,0,0,3,10,0,21.73,0.43,0.98,0.09,0,182,8,0.1,0.03,38,46,388,201.5,0,49,28,0.11,4
Laura Mcdaniel,erin25@hotmail.com,(539)272-1823x6598,"8019 Gonzalez Divide, Port Erin, VA 41799",Manufacturing engineer,05-01-1995,29,Male,Single,3,5,Tertiary,3237,1,1,2,1,109,0.77,1.27,-0.52,4,0.44,0.02,0.72,5,1,2,0,4,6,4,12.4,0.83,1,0.08,3,72,5,0.29,-0.47,17,14,161,0,31,103,8,0.16,0
John Green,hollysims@gmail.com,(690)509-1995x434,"699 Rivera Crest Apt. 924, West Jesseberg, NM 85887",Audiological scientist,16-08-2003,21,Male,Single,2,4,Primary,9522,1,0,12,80,32,0.22,0.02,-0.85,3,0.91,0.15,0.46,11,5,1,1,5,7,3,31.07,1.41,0.66,0.18,0,30,6,0.16,-0.22,27,28,117,344.3,55,0,49,0.16,4
Jeffrey Hampton,fwilliams@yahoo.com,786-778-5141,"0897 Heather Squares, Port Donnafurt, MO 46349","Scientist, physiological",19-01-2006,18,Male,Single,2,3,Secondary,3000,0,0,27,4,11,0.58,1.48,1.25,3,0.06,0.65,0.66,9,1,1,0,3,3,1,38.42,0.74,0.63,0.17,1,104,2,0.18,0.47,70,26,190,355.8,19,88,0,0.18,1
Beverly Wolfe,carolyn22@gmail.com,340.877.7233,"95440 Elizabeth Stravenue Suite 460, Port Jessica, MH 72122",Health visitor,06-03-1980,44,Male,Married,2,3,Primary,2556,0,1,35,56,85,-0.39,0.59,0.38,6,0.37,0.93,0.77,7,5,4,2,2,1,4,26.55,0.54,0.71,0.11,5,13,5,0,0.18,29,28,155,73.2,36,22,67,0,0
Diamond Nelson,keith02@gmail.com,001-502-432-7992x180,"08157 Myers Center, Derekborough, MI 19920",Clinical research associate,14-05-1998,26,Female,Single,0,1,Secondary,3848,0,1,28,55,40,-0.1,-1.5,-0.16,7,0.3,0.83,0.12,8,3,2,1,2,3,4,32.55,1.2,0.8,0.29,1,6,11,0.18,-0.68,34,19,337,252.7,24,12,9,0.15,3
Christina Diaz,fieldsshelley@gmail.com,929-483-7867x9165,"393 Ryan Inlet Suite 297, Ryanburgh, TN 18141",Communications engineer,03-03-1986,38,Female,Single,0,2,Secondary,3202,0,1,33,111,35,0.23,-0.15,-0.12,2,0.56,0.93,0.53,2,2,1,0,3,8,3,17.29,0.71,0.95,0.14,2,99,18,0.1,0.24,17,0,151,0,68,0,47,0.3,3
Robert Wilson,roberta43@hotmail.com,572-790-8412,"452 Shawn Cliffs Apt. 905, New Jennifer, MI 87071","Education officer, museum",29-03-1981,43,Male,Married,1,3,Secondary,1624,1,0,66,61,27,0.91,0.85,0.65,3,0.04,0.44,0.76,4,4,3,1,3,6,0,10.83,0.78,0.98,0,2,115,9,0.27,0.12,29,0,169,246,78,0,18,0,2
James Martinez,kelly54@gmail.com,591.454.3774x83273,"0242 Cory Terrace, Watkinsfort, NY 16997",Health visitor,11-01-1985,39,Male,Single,2,4,Primary,3732,0,1,18,34,12,-0.62,0.5,1.48,3,0.97,0.29,0.49,6,1,3,0,3,6,0,53.41,0.73,0.79,0.15,3,87,1,0.32,0.22,8,34,215,16.1,15,46,19,0.27,1
Susan Williams,bdavis@hotmail.com,001-791-946-8952,"4557 Kaylee View, Blackburgh, NJ 48487",Environmental manager,15-08-1991,33,Female,Single,1,3,Tertiary,2120,0,1,38,41,11,1.17,-0.29,-0.54,3,0.89,0.85,0.57,3,5,2,0,4,1,1,13.18,0.83,0.85,0.15,0,129,6,0.27,0.01,36,42,156,44.8,22,83,28,0.12,5
Adam Foster,rodriguezwendy@gmail.com,657-570-5726x326,"669 Snyder Passage Apt. 084, New Alan, AR 60911",Paramedic,05-12-1981,43,Male,Married,2,3,Primary,4029,1,1,26,52,44,-2.56,-0.82,-0.14,4,0.8,0.07,0.67,5,3,0,0,3,2,5,25.66,0.28,0.48,0.1,5,101,8,0.34,-0.37,66,23,295,82.5,0,65,0,0.03,3
James Patel Jr.,powelljacob@hotmail.com,(396)260-2088,"Unit 3883 Box 6463, DPO AA 62331",IT sales professional,20-07-1983,41,Male,Single,1,2,Tertiary,2263,1,0,0,55,37,-0.08,0.43,-0.08,4,0.81,0.69,0.81,5,5,6,0,3,6,1,55.55,0.13,0.91,0.15,4,81,0,0.07,0.53,49,34,0,104.6,46,25,0,0.09,5
